"Tm","WinP","Salary","Year","log.Salary"
"ATL",0.407,14807000,1985,16.5106105998909
"BAL",0.515,12085712,1985,16.3075344863958
"BOS",0.5,10897560,1985,16.2040494689295
"CAL",0.556,14427894,1985,16.484673974153
"CHC",0.478,12702917,1985,16.3573422100946
"CHW",0.525,9846178,1985,16.1025939175443
"CIN",0.553,8359917,1985,15.9389590567819
"CLE",0.37,6551666,1985,15.6952299264147
"DET",0.522,10348143,1985,16.1523176412881
"HOU",0.512,9993051,1985,16.1174005094034
"KCR",0.562,10565346,1985,16.1730899581411
"LAD",0.586,10967917,1985,16.2104849327267
"MIL",0.441,11284107,1985,16.2389058335121
"MIN",0.475,5764821,1985,15.567284661767
"MON",0.522,9470166,1985,16.0636569940477
"NYM",0.605,10834762,1985,16.1982702268599
"NYY",0.603,14238204,1985,16.4714393323983
"OAK",0.475,9058606,1985,16.0192258030464
"PHI",0.463,10644966,1985,16.1805976623168
"PIT",0.354,9267500,1985,16.042024214007
"SDP",0.512,11191583,1985,16.2306725358771
"SEA",0.457,4613000,1985,15.34438896254
"SFG",0.383,8221714,1985,15.922289261111
"STL",0.624,11817083,1985,16.2850567543758
"TEX",0.385,7676500,1985,15.8536742720811
"TOR",0.615,9329217,1985,16.0486616464722
"ATL",0.447,17102786,1986,16.6547519321788
"BAL",0.451,13001258,1986,16.3805566799747
"BOS",0.59,14402239,1986,16.4828942385706
"CAL",0.568,14427258,1986,16.4846298919038
"CHC",0.438,17208165,1986,16.6608945384472
"CHW",0.444,10418819,1986,16.1591242481348
"CIN",0.531,11906388,1986,16.2925856207753
"CLE",0.518,7809500,1986,15.8708514992799
"DET",0.537,12335714,1986,16.3280091903401
"HOU",0.593,9873276,1986,16.1053422712317
"KCR",0.469,13043698,1986,16.3838156632161
"LAD",0.451,15213776,1986,16.5377118911498
"MIL",0.478,9943642,1986,16.1124439099156
"MIN",0.438,9498167,1986,16.0666093905856
"MON",0.484,11103600,1986,16.2227799380251
"NYM",0.667,15393714,1986,16.5494698022368
"NYY",0.556,18494253,1986,16.7329705931386
"OAK",0.469,9779421,1986,16.0957908378045
"PHI",0.534,11590166,1986,16.2656675379053
"PIT",0.395,10938500,1986,16.2077992340401
"SDP",0.457,11380693,1986,16.2474288811177
"SEA",0.414,5958309,1986,15.6002972739518
"SFG",0.512,8947000,1986,16.0068288385297
"STL",0.491,9875010,1986,16.1055178814092
"TEX",0.537,6743119,1986,15.7240331354922
"TOR",0.531,12801047,1986,16.3650375224197
"ATL",0.429,17444560,1987,16.6745384101582
"BAL",0.414,14250273,1987,16.4722866223902
"BOS",0.481,13770171,1987,16.4380152889284
"CAL",0.463,13855999,1987,16.4442288376135
"CHC",0.472,15473026,1987,16.5546088078168
"CHW",0.475,12135343,1987,16.3116326620915
"CIN",0.518,9281500,1987,16.0435337296314
"CLE",0.377,9033750,1987,16.0164781215793
"DET",0.605,12122881,1987,16.3106052166284
"HOU",0.469,12758371,1987,16.3616981631543
"KCR",0.512,12513056,1987,16.3422831371828
"LAD",0.451,14474737,1987,16.4879154120009
"MIL",0.562,7293224,1987,15.8024562558783
"MIN",0.525,10585000,1987,16.1749484625511
"MON",0.562,8877052,1987,15.9989800778682
"NYM",0.568,13846714,1987,16.4435585061302
"NYY",0.549,19457714,1987,16.7837541560849
"OAK",0.5,12730839,1987,16.3595378756674
"PHI",0.494,12482997,1987,16.3398780363063
"PIT",0.494,8789500,1987,15.9890683852221
"SDP",0.401,12065796,1987,16.3058852308285
"SEA",0.481,4623000,1987,15.3465544029704
"SFG",0.556,8532500,1987,15.959392959763
"STL",0.586,11758000,1987,16.2800444179443
"TEX",0.463,5992718,1987,15.6060556234358
"TOR",0.593,10765401,1987,16.1918479384352
"ATL",0.338,13065674,1988,16.385499043819
"BAL",0.335,14389075,1988,16.4819797960469
"BOS",0.549,14687092,1988,16.5024795707594
"CAL",0.463,12249888,1988,16.3210273520561
"CHC",0.475,13956698,1988,16.4514700943689
"CHW",0.441,8537500,1988,15.9599787828612
"CIN",0.54,9697409,1988,16.0873692943904
"CLE",0.481,9261500,1988,16.0413765805449
"DET",0.543,13432071,1988,16.41315576361
"HOU",0.506,12641167,1988,16.3524692683706
"KCR",0.522,14850062,1988,16.5135145982884
"LAD",0.584,17141015,1988,16.6569846875836
"MIL",0.537,9502000,1988,16.067012860729
"MIN",0.562,13308966,1988,16.4039485014032
"MON",0.5,10046833,1988,16.1227680184291
"NYM",0.625,15401814,1988,16.5499958526547
"NYY",0.528,20371152,1988,16.8296303403594
"OAK",0.642,10653833,1988,16.1814302914723
"PHI",0.404,13900500,1988,16.447435368677
"PIT",0.531,7128500,1988,15.7796113915762
"SDP",0.515,10723502,1988,16.1879483393634
"SEA",0.422,7754950,1988,15.8638419071187
"SFG",0.512,12822500,1988,16.3667119982456
"STL",0.469,13192500,1988,16.395159044262
"TEX",0.435,6385631,1988,15.6695608679378
